id,energy_star_rating,backfilled_energy_star_rating
0,11.0,11.0
1,45.0,45.0
2,97.0,97.0
3,46.0,46.0
4,100.0,100.0
5,,76.0
6,56.0,56.0
7,99.0,99.0
8,98.0,98.0
9,83.0,83.0
10,51.0,51.0
11,81.0,81.0
12,29.0,29.0
13,13.0,13.0
14,,74.75
15,,
16,93.0,93.0
17,,81.0
18,,75.0
19,59.0,59.0
20,,83.0
21,82.0,82.0
22,53.0,53.0
23,60.0,60.0
24,26.0,26.0
25,44.0,44.0
26,55.0,55.0
27,100.0,100.0
28,100.0,100.0
29,,87.66666666666667
30,98.0,98.0
31,99.0,99.0
32,,66.0
33,86.0,86.0
34,25.0,25.0
35,94.0,94.0
36,74.0,74.0
37,96.0,96.0
38,93.0,93.0
39,,83.0
40,90.0,90.0
41,90.0,90.0
42,100.0,100.0
43,71.0,71.0
44,70.0,70.0
45,65.0,65.0
46,77.0,77.0
47,,
48,83.0,83.0
49,82.0,82.0
50,57.0,57.0
51,61.0,61.0
52,,82.6
53,54.0,54.0
54,6.0,6.0
55,,86.0
56,70.0,70.0
57,,
58,,79.5
59,,85.0
60,,
61,75.0,75.0
62,,83.0
63,98.0,98.0
64,99.0,99.0
65,,75.0
66,,75.1
67,,74.75
68,,88.0
69,,92.0
70,73.0,73.0
71,,57.5
72,57.0,57.0
73,99.0,99.0
74,,77.75
75,,76.0
76,91.0,91.0
77,71.0,71.0
78,90.0,90.0
79,91.0,91.0
80,92.0,92.0
81,100.0,100.0
82,94.0,94.0
83,85.0,85.0
84,98.0,98.0
85,56.0,56.0
86,,
87,88.0,88.0
88,89.0,89.0
89,92.0,92.0
90,67.0,67.0
91,86.0,86.0
92,,66.0
93,78.0,78.0
94,94.0,94.0
95,76.0,76.0
96,,88.33333333333333
97,6.0,6.0
98,87.0,87.0
99,83.0,83.0
100,74.0,74.0
101,33.0,33.0
102,54.0,54.0
103,75.0,75.0
104,48.0,48.0
105,,73.375
106,58.0,58.0
107,,79.5
108,63.0,63.0
109,39.0,39.0
110,,
111,,
112,52.0,52.0
113,23.0,23.0
114,,74.9090909090909
115,91.0,91.0
116,100.0,100.0
117,90.0,90.0
118,86.0,86.0
119,,73.375
120,81.0,81.0
121,42.0,42.0
122,64.0,64.0
123,76.0,76.0
124,69.0,69.0
125,54.0,54.0
126,57.0,57.0
127,,80.33333333333333
128,,
129,69.0,69.0
130,76.0,76.0
131,,74.9090909090909
132,67.0,67.0
133,78.0,78.0
134,65.0,65.0
135,75.0,75.0
136,,87.66666666666667
137,62.0,62.0
138,84.0,84.0
139,64.0,64.0
140,24.0,24.0
141,58.0,58.0
142,80.0,80.0
143,,69.5
144,15.0,15.0
145,99.0,99.0
146,,75.1
147,,93.0
148,98.0,98.0
149,94.0,94.0
150,95.0,95.0
151,94.0,94.0
152,91.0,91.0
153,97.0,97.0
154,92.0,92.0
155,96.0,96.0
156,95.0,95.0
157,85.0,85.0
158,93.0,93.0
159,84.0,84.0
160,92.0,92.0
161,94.0,94.0
162,66.0,66.0
163,92.0,92.0
164,100.0,100.0
165,84.0,84.0
166,92.0,92.0
167,,87.66666666666667
168,91.0,91.0
169,84.0,84.0
170,85.0,85.0
171,72.0,72.0
172,86.0,86.0
173,90.0,90.0
174,84.0,84.0
175,100.0,100.0
176,81.0,81.0
177,86.0,86.0
178,83.0,83.0
179,87.0,87.0
180,80.0,80.0
181,92.0,92.0
182,,75.1
183,90.0,90.0
184,87.0,87.0
185,85.0,85.0
186,80.0,80.0
187,82.0,82.0
188,80.0,80.0
189,78.0,78.0
190,88.0,88.0
191,90.0,90.0
192,81.0,81.0
193,82.0,82.0
194,86.0,86.0
195,80.0,80.0
196,69.0,69.0
197,81.0,81.0
198,92.0,92.0
199,79.0,79.0
200,85.0,85.0
201,79.0,79.0
202,83.0,83.0
203,77.0,77.0
204,,66.0
205,,75.1
206,91.0,91.0
207,95.0,95.0
208,,88.25
209,97.0,97.0
210,96.0,96.0
211,87.0,87.0
212,100.0,100.0
213,97.0,97.0
214,91.0,91.0
215,94.0,94.0
216,95.0,95.0
217,95.0,95.0
218,94.0,94.0
219,94.0,94.0
220,,73.375
221,88.0,88.0
222,92.0,92.0
223,91.0,91.0
224,,
225,95.0,95.0
226,80.0,80.0
227,92.0,92.0
228,83.0,83.0
229,95.0,95.0
230,90.0,90.0
231,83.0,83.0
232,93.0,93.0
233,91.0,91.0
234,87.0,87.0
235,87.0,87.0
236,89.0,89.0
237,78.0,78.0
238,78.0,78.0
239,82.0,82.0
